id,expected_action,matched,query,action,confidence,category,source,answer,retrieval_score,retrieval_confidence,model_confidence,model_grounded,citation_valid,insufficient_information,escalation_reason,model,latency_ms,error
Q01,respond,True,I have been paying my home loan for two years and want to close it early. Will I be charged a foreclosure fee? It is a floating rate loan.,respond,medium,loan_prepayment,POL-PREPAY-01 / Foreclosure charges,"For a floating rate loan, the foreclosure charge depends on your borrower category. If you are an individual borrower, the foreclosure charge is Nil (Goods and Services Tax applies to all charges).",0.416,medium,high,True,True,False,,gemini-flash-lite-latest,1140,
Q02,respond,True,How do I update the mobile number registered on my loan account?,respond,high,kyc_and_account_update,POL-KYC-02 / Updating your mobile number,"You can update your mobile number by submitting a request through the mobile app, the customer portal, or a branch, and verifying it with an OTP sent to your existing registered mobile number. If your existing number is no longer accessible, you must update it in person at a branch with an original officially valid document. The change takes effect within 2 working days. Only one mobile number change request is permitted in any 30 day period.",1.0,high,high,True,True,False,,gemini-flash-lite-latest,1386,
Q03,respond,True,My EMI auto debit failed last month. What charges will I have to pay?,respond,high,emi_and_payments,FAQ-EMI-03 / What happens if my EMI payment bounces?,"A bounce, also called a dishonoured mandate or a failed auto-debit, attracts a bounce charge of Rs. 500 per instance, plus applicable GST. This is separate from late payment interest. If an auto-debit attempt failed, the bounce charge still applies even if payment is received within the grace period.",0.575,high,high,True,True,False,,gemini-flash-lite-latest,1158,
Q04,respond,True,Can I move my EMI date to the 20th of every month?,respond,high,emi_and_payments,FAQ-EMI-03 / Can I change my EMI due date?,"No, you cannot move your EMI date to the 20th. The available due dates are only the 1st, 5th, 10th, or 15th of the month, and no other date can be selected.",0.488,high,high,True,True,False,,gemini-flash-lite-latest,1304,
Q05,respond,True,How long does it take to get my NOC after I close the loan?,respond,medium,loan_prepayment,POL-PREPAY-01 / Documents released after closure,The No Objection Certificate is issued within 7 working days of closure.,0.438,medium,high,True,True,False,,gemini-flash-lite-latest,1176,
Q06,respond,False,How much can I part-prepay in a year without being charged for it?,escalate,low,loan_prepayment,,"I could not answer this confidently from the available policy documents, so I am routing it to a human support agent.",0.24,low,high,True,True,False,low_confidence,gemini-flash-lite-latest,916,
Q07,escalate,True,"What interest rate will I get on a new two wheeler loan in Pune, and what is my eligibility?",escalate,low,other,,"I could not answer this confidently from the available policy documents, so I am routing it to a human support agent.",0.26,medium,high,True,False,True,model_reported_insufficient_information,gemini-flash-lite-latest,1234,
Q08,escalate,True,Am I eligible for a top-up loan on my existing home loan?,escalate,low,other,,"I could not answer this confidently from the available policy documents, so I am routing it to a human support agent.",0.244,low,high,True,False,True,model_reported_insufficient_information,gemini-flash-lite-latest,1109,
Q09,escalate,True,,escalate,low,other,,"I could not answer this confidently from the available policy documents, so I am routing it to a human support agent.",,,,,,,empty_input,,,
Q10,escalate,True,qwertyuiop zxcvbnm asdfgh lkjhgf,escalate,low,other,,"I could not answer this confidently from the available policy documents, so I am routing it to a human support agent.",0.0,,,,,,no_relevant_policy_found,,,
